root@lamponubuntu2404-s-1vcpu-1gb-tor1-01:~# ping 104.24.4.6
PING 104.24.4.6 (104.24.4.6) 56(84) bytes of data.
64 bytes from 104.24.4.6: icmp_seq=1 ttl=58 time=3.44 ms
64 bytes from 104.24.4.6: icmp_seq=2 ttl=58 time=2.54 ms
64 bytes from 104.24.4.6: icmp_seq=3 ttl=58 time=2.48 ms
64 bytes from 104.24.4.6: icmp_seq=4 ttl=58 time=2.56 ms
64 bytes from 104.24.4.6: icmp_seq=5 ttl=58 time=2.52 ms
64 bytes from 104.24.4.6: icmp_seq=6 ttl=58 time=2.43 ms
64 bytes from 104.24.4.6: icmp_seq=7 ttl=58 time=2.43 ms
64 bytes from 104.24.4.6: icmp_seq=8 ttl=58 time=2.54 ms
64 bytes from 104.24.4.6: icmp_seq=9 ttl=58 time=2.49 ms
64 bytes from 104.24.4.6: icmp_seq=10 ttl=58 time=2.82 ms
64 bytes from 104.24.4.6: icmp_seq=11 ttl=58 time=2.46 ms
64 bytes from 104.24.4.6: icmp_seq=12 ttl=58 time=2.49 ms
64 bytes from 104.24.4.6: icmp_seq=13 ttl=58 time=2.64 ms
64 bytes from 104.24.4.6: icmp_seq=14 ttl=58 time=2.54 ms
64 bytes from 104.24.4.6: icmp_seq=15 ttl=58 time=2.49 ms
64 bytes from 104.24.4.6: icmp_seq=16 ttl=58 time=2.50 ms
64 bytes from 104.24.4.6: icmp_seq=17 ttl=58 time=2.55 ms
64 bytes from 104.24.4.6: icmp_seq=18 ttl=58 time=2.50 ms
^C
